epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
89,219.604,0.97035,1.78631,1.16397,0.00884,0.19075,0.9316,0.42466,0.52763,0.30853,0.88876,0.43333,0.52024,0.25012,1.86676,3.49622,1.98837,0.01587,0,1.34879e-05,1.34879e-05,1.34879e-05
90,222.052,0.69493,1.72225,1.02991,0.00587,0.35673,0.9316,0.42466,0.52763,0.30853,0.88876,0.43333,0.52024,0.25012,1.86676,3.49622,1.98837,0.01587,0,1.25927e-05,1.25927e-05,1.25927e-05
91,224.392,0.60972,1.32742,0.42373,0.00872,0.13226,0.9316,0.42466,0.52763,0.30853,0.88876,0.43333,0.52024,0.25012,1.86676,3.49622,1.98837,0.01587,0,1.16739e-05,1.16739e-05,1.16739e-05
92,226.885,0.6305,1.06035,0.52638,0.00707,0.11942,0.92455,0.42551,0.52953,0.30704,0.88825,0.42059,0.52216,0.25141,1.91009,3.44355,1.8419,0.01603,0,1.07315e-05,1.07315e-05,1.07315e-05
93,229.288,0.94476,1.65078,0.95472,0.01686,0.14206,0.92455,0.42551,0.52953,0.30704,0.88825,0.42059,0.52216,0.25141,1.91009,3.44355,1.8419,0.01603,0,9.76562e-06,9.76562e-06,9.76562e-06
94,231.683,0.73549,1.37413,0.68479,0.00838,0.13785,0.92455,0.42551,0.52953,0.30704,0.88825,0.42059,0.52216,0.25141,1.91009,3.44355,1.8419,0.01603,0,8.77613e-06,8.77613e-06,8.77613e-06
95,234.075,0.90055,2.01718,1.06214,0.01447,0.13927,0.92455,0.42551,0.52953,0.30704,0.88825,0.42059,0.52216,0.25141,1.91009,3.44355,1.8419,0.01603,0,7.76308e-06,7.76308e-06,7.76308e-06
96,236.498,0.81193,1.43934,0.853,0.01421,0.11653,0.92795,0.42344,0.53179,0.31048,0.88809,0.41982,0.52435,0.25248,1.89646,3.44234,1.83622,0.01623,0,6.72648e-06,6.72648e-06,6.72648e-06
97,239.009,0.71321,1.32244,0.56431,0.01068,0.12121,0.92795,0.42344,0.53179,0.31048,0.88809,0.41982,0.52435,0.25248,1.89646,3.44234,1.83622,0.01623,0,5.6663e-06,5.6663e-06,5.6663e-06
98,241.383,0.678,1.41301,0.57061,0.01176,0.15557,0.92795,0.42344,0.53179,0.31048,0.88809,0.41982,0.52435,0.25248,1.89646,3.44234,1.83622,0.01623,0,4.58257e-06,4.58257e-06,4.58257e-06
99,243.815,0.67895,1.2827,0.54833,0.00875,0.12934,0.92795,0.42344,0.53179,0.31048,0.88809,0.41982,0.52435,0.25248,1.89646,3.44234,1.83622,0.01623,0,3.47528e-06,3.47528e-06,3.47528e-06
100,246.289,0.61663,1.37393,0.53645,0.00871,0.11912,0.92966,0.42025,0.53292,0.32453,0.92966,0.42025,0.53512,0.25385,1.89657,3.51727,1.68489,0.01574,0,2.34442e-06,2.34442e-06,2.34442e-06
